City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Sorata,BO,2020-07-09 15:53:18,-15.77,-68.63,54.3,37,26,8.34
200,Naze,JP,2020-07-09 15:53:18,28.37,129.48,82.4,94,40,8.05
201,Adrar,MR,2020-07-09 15:53:18,20.5,-10.07,109.65,6,3,16.06
202,Reo,BF,2020-07-09 15:53:18,12.32,-2.47,95.16,36,41,7.74
203,Invermere,CA,2020-07-09 15:53:19,50.52,-116.04,62.04,49,94,4.41
204,Phan Thiet,VN,2020-07-09 15:50:37,10.93,108.1,78.93,87,100,0.72
205,Davila,PH,2020-07-09 15:53:19,18.47,120.58,83.35,73,100,3.49
206,Constitucion,CL,2020-07-09 15:50:41,-35.33,-72.42,53.67,53,97,3.96
207,Arraial Do Cabo,BR,2020-07-09 15:50:24,-22.97,-42.03,73.67,83,1,20.18
208,Lerwick,GB,2020-07-09 15:53:19,60.15,-1.15,55.4,82,20,8.05
209,Obo,CF,2020-07-09 15:53:19,5.4,26.49,74.41,90,37,4.0
210,Grand Gaube,MU,2020-07-09 15:50:06,-20.01,57.66,72.0,59,39,5.99
211,Scarborough,GB,2020-07-09 15:53:20,54.28,-0.4,55.99,85,90,1.99
212,Xambioa,BR,2020-07-09 15:53:20,-6.41,-48.54,93.69,28,84,5.32
213,Srandakan,ID,2020-07-09 15:53:20,-7.94,110.25,75.42,86,35,7.11
214,Kirkwall,GB,2020-07-09 15:53:20,58.98,-2.96,57.99,71,40,3.36
215,Omsukchan,RU,2020-07-09 15:51:01,62.53,155.8,50.88,91,94,5.41
216,Lohr,DE,2020-07-09 15:53:21,49.99,9.58,82.99,41,6,4.0
217,Namwala,ZM,2020-07-09 15:53:21,-15.75,26.44,71.87,31,0,2.82
218,Kavaratti,IN,2020-07-09 15:51:11,10.57,72.64,83.37,80,100,13.15
219,Namibe,AO,2020-07-09 15:51:37,-15.2,12.15,71.6,73,0,13.87
220,Ratnagiri,IN,2020-07-09 15:53:21,16.98,73.3,81.01,85,100,6.51
221,Zhanaozen,KZ,2020-07-09 15:48:42,43.3,52.8,95.83,17,76,12.91
222,Ozernovskiy,RU,2020-07-09 15:51:32,51.5,156.52,50.49,92,100,3.2
223,Georgetown,MY,2020-07-09 15:50:19,5.41,100.34,82.4,83,20,4.34
224,Sao Jose Da Coroa Grande,BR,2020-07-09 15:53:22,-8.9,-35.15,79.83,77,34,8.01
225,Muborak,UZ,2020-07-09 15:53:22,39.26,65.15,92.28,14,0,12.71
226,Tarabuco,BO,2020-07-09 15:53:22,-19.17,-64.92,55.11,28,42,2.8
227,Aguas Vermelhas,BR,2020-07-09 15:53:22,-15.75,-41.46,77.86,48,28,2.8
228,Srednekolymsk,RU,2020-07-09 15:51:02,67.45,153.68,53.98,85,95,5.41
229,Tripoli,LY,2020-07-09 15:53:23,32.88,13.19,80.15,67,0,18.72
230,Hervey Bay,AU,2020-07-09 15:53:23,-25.3,152.85,63.0,81,64,4.0
231,Cambridge,CA,2020-07-09 15:51:37,43.36,-80.31,88.0,52,1,8.05
232,Moose Factory,CA,2020-07-09 15:50:47,51.26,-80.61,80.6,61,1,5.82
233,Senanga,ZM,2020-07-09 15:53:23,-16.12,23.27,73.45,26,0,1.48
234,Fairbanks,US,2020-07-09 15:45:47,64.84,-147.72,53.6,100,90,3.36
235,Nyurba,RU,2020-07-09 15:53:24,63.28,118.33,65.73,56,86,5.48
236,Devonport,AU,2020-07-09 15:53:24,-41.17,146.35,50.0,86,82,5.01
237,Comodoro Rivadavia,AR,2020-07-09 15:48:39,-45.87,-67.5,42.8,75,100,6.93
238,Emerald,AU,2020-07-09 15:53:24,-23.53,148.17,64.4,77,90,10.29
239,Carnarvon,AU,2020-07-09 15:50:34,-24.87,113.63,59.0,44,100,10.29
240,Salisbury,GB,2020-07-09 15:53:24,51.07,-1.8,64.99,93,90,11.41
241,Prince Rupert,CA,2020-07-09 15:46:44,54.32,-130.32,55.4,87,90,4.7
242,Cabedelo,BR,2020-07-09 15:47:46,-6.98,-34.83,80.6,78,75,13.87
243,Shiraoi,JP,2020-07-09 15:53:25,42.55,141.35,64.99,100,20,6.93
244,Jambi,ID,2020-07-09 15:53:25,-1.6,103.62,70.95,97,100,2.08
245,Mehriz,IR,2020-07-09 15:53:25,31.59,54.43,98.6,10,40,6.93
246,Ribeira Grande,PT,2020-07-09 15:50:15,38.52,-28.7,73.4,60,40,5.82
247,Capinopolis,BR,2020-07-09 15:53:25,-18.68,-49.57,81.18,46,13,9.82
248,Lavrentiya,RU,2020-07-09 15:51:03,65.58,-171.0,45.72,86,1,1.28
